problem_name,method,seed,iteration,acq_type,acq_value,acq_label,candidate_x,new_y_model_space,new_y_minimization,posterior_mean,posterior_std,train_size,parego_weights,parego_probe_max,evaluations,hypervolume,ideal_hypervolume,normalized_hypervolume,gd,igd,spacing,coverage,pareto_size,best_f1,best_f2,elapsed_sec,device,difficulty,family,description,n_var,n_obj
zdt4,ParEGO,0,40,ParEGO,-8.331287728489407,qLogNEI,"[0.0, -1.061717527828922, -4.9999978476753055, -2.283088798530592, -0.5510819349020937, -2.046352174244735, -1.5231733044837426, -1.3977933282276387, 1.440359181469792, 2.7429449354135866]","[-0.0, -106.58629883114273]","[0.0, 106.58629883114273]","[-0.003043211661692913, -156.0370013352371]","[0.022116665658874962, 25.306968166168474]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-36.79923240602437],60,0.0,0.8683145333564439,0.0,67.01874455547544,67.68696677288402,0.0,0.0,1,0.0,68.01874455547544,836.5768566999996,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,ParEGO,1,40,ParEGO,-7.219347076654984,qLogNEI,"[0.0, -1.3051353768861464, 2.33099565289709, -2.388350035356023, -1.6171863694936544, -0.22439178118853317, -3.719189227025474, -1.3349421344493644, -0.22723316714852448, 0.9517490901296569]","[-0.0, -158.32158006172847]","[0.0, 158.32158006172847]","[0.0004810807617782187, -116.31901534287991]","[0.00790933113575886, 13.308680276129751]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-9.453478813157108],60,0.0,0.8683145333564439,0.0,86.63658056342672,87.30425088793001,0.0,0.0,1,0.0,87.63658056342672,832.0637750000005,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,ParEGO,2,40,ParEGO,-6.002502476320159,qLogNEI,"[0.003050507240527647, 0.9192797250119001, -2.6571993923060253, 0.6458976260683144, 0.3816708351704858, -2.6202651447342724, -3.7395948806310817, -1.0893650095436378, -5.0, 0.10147604383137794]","[-0.003050507240527647, -138.35556678550122]","[0.003050507240527647, 138.35556678550122]","[-0.005446447924567499, -152.45885537876893]","[0.020117970647966135, 19.82313173855055]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-7.819398326313541],60,0.0,0.8683145333564439,0.0,88.96021260576633,70.37423232706688,12.668546814312476,0.7610021412848087,5,0.0,70.70786951811907,585.9575927999995,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,ParEGO,3,40,ParEGO,-7.45151394678777,qLogNEI,"[0.0, -1.0369405841574995, 0.30554015466607126, 1.9836214810368715, -1.970490822734911, 1.307411636302965, 0.17404662234209214, 1.8720668235346665, -1.9662463502242944, -2.601583451578355]","[-0.0, -97.1187940385313]","[0.0, 97.1187940385313]","[-0.0013402723411977818, -101.82086422561125]","[0.011138163142871124, 16.59128969484981]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-36.27404586401703],60,0.0,0.8683145333564439,0.0,56.941970800292566,57.610622122409815,0.0,0.0,1,0.0,57.941970800292566,751.7209734999997,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,ParEGO,4,40,ParEGO,-8.0390182178623,qLogNEI,"[0.0, -0.07470603200196556, -0.29928397283730795, -0.8258453028708534, -1.0581215995456454, 0.014157237766717134, -1.8147682385906823, 1.6719585022941281, 0.11163418358813185, -0.8705935151919086]","[-0.0, -101.80428066849642]","[0.0, 101.80428066849642]","[-0.0009018404606078445, -107.7119054655654]","[0.007424926819356667, 15.85183313144791]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-9.376298973134986],60,0.0,0.8683145333564439,0.0,58.13151175910029,58.80010479567884,0.0,0.0,1,0.0,59.13151175910029,811.2689914999992,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,qEHVI,0,40,qEHVI,0.8112277911449821,qEHVI,"[0.0, 0.5224438809662064, -5.0, -3.1507547532456455, -1.0077194411963275, -5.0, 1.3724424977974425, -3.480486382726378, -4.285650720326752, -5.0]","[-0.0, -162.8358623746209]","[0.0, 162.8358623746209]","[0.004520780372538655, -171.85667241963247]","[0.023834146545184516, 26.16653210069003]",60,,,60,0.0,0.8683145333564439,0.0,86.1653266168464,86.83300728208644,0.0,0.0,1,0.0,87.1653266168464,483.86232460000065,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,qEHVI,1,40,qEHVI,1.7074965464227718,qEHVI,"[0.0, -4.7716145463244946, -1.6216897550001395, -1.7575554665373823, -3.7125243400259427, -0.9516448917342741, -0.7778389117191434, 0.7464637918554402, -2.716738168127123, 0.29259962103608994]","[-0.0, -199.80275404008128]","[0.0, 199.80275404008128]","[0.0017734876429937735, -114.8548408726817]","[0.006199763089565675, 14.612829122686579]",60,,,60,0.0,0.8683145333564439,0.0,98.30269168579107,98.97013735245662,0.0,0.0,1,0.0,99.30269168579107,475.8160065000011,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,qEHVI,2,40,qEHVI,0.6811276286277868,qEHVI,"[0.0, -0.28488249992825176, -5.0, 1.4707750117385083, -2.448356104571249, -5.0, -1.121120663631939, -5.0, -3.917635362173074, 0.9958627527612123]","[-0.0, -138.01081407157076]","[0.0, 138.01081407157076]","[-0.002477766278419266, -164.59004567574004]","[0.02520532655911669, 27.011935372199197]",60,,,60,0.0,0.8683145333564439,0.0,70.46670280230343,71.13480603242617,0.0,0.0,1,0.0,71.46670280230343,514.0431626999998,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,qEHVI,3,40,qEHVI,0.6934479204036919,qEHVI,"[0.0, -5.0, -5.0, -5.0, -1.3807857182410959, -5.0, -1.6851576473749763, 0.06624451644121084, 0.4914396134596292, -0.2687551035784054]","[-0.0, -155.24865914666714]","[0.0, 155.24865914666714]","[0.0006334946711273187, -164.78930222509433]","[0.021576528238489292, 22.68600536926069]",60,,,60,0.0,0.8683145333564439,0.0,58.010994779754874,58.67959361424544,0.0,0.0,1,0.0,59.010994779754874,472.1946898999995,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt4,qEHVI,4,40,qEHVI,0.6105355648379578,qEHVI,"[0.0, -5.0, 0.10867882528963754, -4.729027073342806, -0.45397811916912484, 0.016535415293814915, -2.6793135662877514, -0.9345047061547104, 3.1602660799262243, -0.8651465620785809]","[-0.0, -141.85971460231428]","[0.0, 141.85971460231428]","[-0.0034210721868102034, -160.93510909875496]","[0.023180286330712754, 22.77806864093086]",60,,,60,0.0,0.8683145333564439,0.0,89.57367624267789,81.38797477912654,0.0,0.5523881434688912,2,0.0,81.72074114623824,517.700238200001,cpu,medium,ZDT,Мультимодальная задача с большим числом локальных оптимумов вне фронта Парето.,10,2
zdt6,ParEGO,0,40,ParEGO,-4.837449404777614,qLogNEI,"[0.09818623672006381, 0.5638781569160003, 0.8974658538455877, 0.8663044286920754, 0.5748855954939855, 0.4811489327434259]","[-0.4679582861234566, -9.13905647546091]","[0.4679582861234566, 9.13905647546091]","[-0.44607767778061475, -8.380738556325504]","[0.07743216518175697, 1.630441658741076]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-7.736168496935631],60,0.20301112545372083,0.4025671941402063,0.5042912795895038,2.827509942382409,0.1515035683850102,0.07615867915237894,0.9999988009523846,17,0.28077704386927715,0.0,548.0088054999997,cpu,medium,ZDT,"Фронт с неравномерной плотностью решений, полезен для оценки равномерности распределения точек.",6,2
zdt6,ParEGO,1,40,ParEGO,-11.065392993201288,qLogNEI,"[0.07974495982483136, 0.10975368792869818, 0.26251136956339655, 0.09658178675145238, 0.0, 0.22310218933039877]","[-0.2830258707405955, -6.47697590837898]","[0.2830258707405955, 6.47697590837898]","[-0.2825375358097492, -6.754391793901476]","[0.02331951255954771, 1.61724855305726]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-39.828685978370984],60,0.26052497452646656,0.4025671941402063,0.6471589794664957,0.10766585622621118,0.05641049871473744,0.4359561089908195,0.9999968315462198,18,0.280779876760318,0.0,440.6603563999997,cpu,medium,ZDT,"Фронт с неравномерной плотностью решений, полезен для оценки равномерности распределения точек.",6,2
